Meter Number,Account Name,Borough,Service Start Date,is_federal,is_bws,Meter AMR,# days,Consumption (HCF),Current Charges,Other Charges,Service End Date,Building,Estimated score,Bill Analyzed score
E20405182,FHA REPOSSESSED HOUSES (GROUP IV),FHA,12/13/2012,True,True,True,2688,1471,4703.65,0.0,10/22/2019,226_184-20 EDGEWOOD AVENUE,0.0,0.9651162790697675
E20437524,GOMPERS,MANHATTAN,11/14/2012,True,True,True,2687,34,3392.18,426.39,10/22/2019,100_BLD 03 - Community Center,0.0,0.9529411764705882
E20437586,REHAB PROGRAM (TAFT REHABS),MANHATTAN,12/12/2012,True,True,True,441,13,544.12,0.0,06/20/2016,516_BLD 02,0.9166666666666666,1.0
E20442865,FHA REPOSSESSED HOUSES (GROUP I),FHA,01/14/2013,True,True,True,2656,302,5157.13,618.01,10/22/2019,209_137-22 WESTGATE STREET,0.0,0.9882352941176471
E20445419,FHA REPOSSESSED HOUSES (GROUP III),FHA,11/14/2012,True,True,True,2566,511,4910.83,0.0,10/22/2019,213_213-34 NASHVILLE BOULEVARD,0.012195121951219513,0.9512195121951219
E20445544,FHA REPOSSESSED HOUSES (GROUP X),FHA,01/14/2013,True,True,True,1278,319,3103.03,0.43,07/15/2016,284_121-28 BENTON STREET,0.0,1.0
E20453240,FENIMORE-LEFFERTS,BROOKLYN,11/14/2012,True,True,True,2717,3276,31724.26,0.0,10/22/2019,205_BLD 04,0.0,0.9767441860465116
E20453242,FENIMORE-LEFFERTS,BROOKLYN,11/14/2012,True,True,True,2717,1505,14676.43,76.48,10/22/2019,205_BLD 03,0.011494252873563218,0.9655172413793104
E20455234,FHA REPOSSESSED HOUSES (GROUP VII),FHA,08/31/2016,True,True,True,308,93,917.72,0.0,07/05/2017,274_236-11 119TH AVENUE,0.0,1.0
E20459024,FIRST HOUSES,MANHATTAN,12/13/2012,True,True,False,91,54,474.13,0.0,03/14/2013,1_BLD02 - STORE 6 & 7,0.0,1.0
E20464543,FHA REPOSSESSED HOUSES (GROUP VIII),FHA,01/14/2013,True,True,True,2658,189,4123.67,116.75,10/25/2019,275_220-23 135TH AVENUE,0.6,0.9764705882352941
E20464898,FHA REPOSSESSED HOUSES (GROUP X),FHA,11/14/2012,True,True,True,1244,273,2557.1,0.02,04/11/2016,284_193-10 WOODHULL AVENUE,0.0,0.9473684210526315
E20464915,FHA REPOSSESSED HOUSES (GROUP V),FHA,12/13/2012,True,True,True,1415,329,3098.94,0.0,10/28/2016,260_110-39 164TH PLACE,0.044444444444444446,0.9555555555555556
E20465059,FHA REPOSSESSED HOUSES (GROUP VIII),FHA,12/13/2012,True,True,True,2688,20,3395.69,697.96,10/22/2019,275_106-10 215TH STREET,0.0,0.9767441860465116
E20466209,FHA REPOSSESSED HOUSES (GROUP VII),FHA,11/14/2012,True,True,True,2717,2204,21457.63,0.0,10/22/2019,274_122-28 191ST STREET,0.0,0.9767441860465116
E20466763,FHA REPOSSESSED HOUSES (GROUP V),FHA,11/14/2012,True,True,True,2717,538,5872.07,540.6,10/22/2019,260_137-24 219TH STREET,0.011627906976744186,0.9418604651162791
E20467273,FHA REPOSSESSED HOUSES (GROUP V),FHA,12/13/2012,True,True,True,1019,262,2434.64,0.0,09/28/2015,260_182-09 147TH AVENUE,0.03125,0.9375
E20474583,FHA REPOSSESSED HOUSES (GROUP VI),FHA,11/16/2012,True,True,True,1811,174,2280.65,0.0,11/01/2017,273_167-08 110TH AVENUE,1.0,0.9824561403508771
E20475069,FHA REPOSSESSED HOUSES (GROUP I),FHA,12/13/2012,True,True,True,2688,1072,4547.67,39.34,10/22/2019,209_138-11 LINDEN BOULEVARD,0.0,0.9767441860465116
E20481355,FHA REPOSSESSED HOUSES (GROUP IX),FHA,12/13/2012,True,True,True,2688,1274,12294.65,0.0,10/22/2019,283_182 ADELPHI STREET,0.0,0.9651162790697675
E20507100,FENIMORE-LEFFERTS,BROOKLYN,11/14/2012,True,True,True,709,557,5110.72,0.0,11/23/2014,205_BLD 01,0.0,0.9
E20508816,FHA REPOSSESSED HOUSES (GROUP IV),FHA,11/14/2012,True,True,True,2717,865,8419.68,0.0,10/22/2019,226_107-27 132ND STREET,0.0,0.9651162790697675
E20519373,QUEENSBRIDGE NORTH,QUEENS,12/13/2012,True,True,False,284,3,344.96,0.0,09/23/2013,505_BLD 11 - STORE 10,0.0,1.0
E20523355,WHITMAN,BROOKLYN,02/12/2013,True,True,True,75,2,89.35,0.0,04/28/2013,514_BLD 37,1.0,1.0
E20527603,FENIMORE-LEFFERTS,BROOKLYN,11/14/2012,True,True,True,2717,2076,20350.15,0.0,10/22/2019,205_BLD 17,0.0,0.9767441860465116
E20527605,FENIMORE-LEFFERTS,BROOKLYN,11/06/2012,True,True,True,2724,1300,12740.05,0.0,10/22/2019,205_BLD 15,0.03488372093023256,0.9767441860465116
E20556463,WHITMAN,BROOKLYN,02/08/2013,True,True,True,171,5,206.51,0.53,07/29/2013,514_BLD 38,0.0,1.0
E20579777,FHA REPOSSESSED HOUSES (GROUP III),FHA,11/14/2012,True,True,True,2719,952,9313.82,0.0,10/22/2019,213_115-21 135TH STREET,0.18604651162790697,0.9767441860465116
E20580230,FHA REPOSSESSED HOUSES (GROUP I),FHA,01/14/2013,True,True,True,2656,1093,10462.95,0.0,10/22/2019,209_117-22 133RD STREET,0.011764705882352941,0.9411764705882353
E20580653,FHA REPOSSESSED HOUSES (GROUP V),FHA,11/14/2012,True,True,True,1372,284,2684.13,0.0,08/17/2016,260_109-38 131ST STREET,0.0,0.9523809523809523
E20687113,FHA REPOSSESSED HOUSES (GROUP I),FHA,02/21/2018,True,True,True,792,307,3093.08,0.0,10/22/2019,209_1502 BEACH 12TH STREET,0.0,1.0
E20710783,FHA REPOSSESSED HOUSES (GROUP X),FHA,09/21/2015,True,True,True,1660,313,3140.89,0.0,10/22/2019,284_111-37 144TH STREET,0.2,1.0
E21089825,RED HOOK EAST,BROOKLYN,11/14/2012,True,True,True,91,10,108.42,0.0,02/13/2013,4_BLD 28,0.0,1.0
E21089826,RED HOOK EAST,BROOKLYN,07/29/2013,True,True,True,30,4,38.07,0.0,08/28/2013,4_BLD 28,0.0,1.0
E21089827,RED HOOK EAST,BROOKLYN,11/19/2012,True,True,True,721,5,920.74,557.1,10/22/2019,4_BLD 28,0.13636363636363635,1.0
E21130072,FHA REPOSSESSED HOUSES (GROUP III),FHA,10/23/2013,True,True,True,2374,1459,5592.42,0.0,10/22/2019,213_3027 EDSON AVENUE,0.014925373134328358,0.9850746268656716
E21207684,FENIMORE-LEFFERTS,BROOKLYN,02/07/2012,True,True,True,2694,2703,25883.22,0.0,10/22/2019,205_BLD 02,0.014925373134328358,1.0
E21224399,FHA REPOSSESSED HOUSES (GROUP II),FHA,01/14/2013,True,True,True,2656,625,6123.84,43.15,10/22/2019,212_133-11 148TH STREET,0.0,0.9529411764705882
E21224516,FHA REPOSSESSED HOUSES (GROUP I),FHA,11/14/2012,True,True,True,1096,49,1415.25,0.0,11/25/2015,209_100-40 202ND STREET,0.6666666666666666,0.9393939393939394
E21224598,FHA REPOSSESSED HOUSES (GROUP X),FHA,01/14/2013,True,True,True,1018,275,2583.68,0.0,10/29/2015,284_109-16 210TH STREET,0.0,0.9375
E21224675,FHA REPOSSESSED HOUSES (GROUP I),FHA,11/14/2012,True,True,True,2717,2566,24704.47,0.0,10/22/2019,209_130-34 147TH STREET,0.0,0.9397590361445783
E21224785,FHA REPOSSESSED HOUSES (GROUP V),FHA,12/13/2012,True,True,True,2688,2400,22721.58,39.34,10/22/2019,260_111-21 LIVERPOOL STREET,0.0,0.9767441860465116
